KODEA/CODIGO;UDALERRIA/MUNICIPIO;EKITALDIA /EJERCICIO;HILABETE/MES;DATUAK ERAUZI EGUNA/FECHA EXTRACCION;ARLO FUNTZIONALA/AREA FUNCIONAL;AZALERA (KM2)/EXTENSION (KM2);BIZTANLE ERROLDA/HABITANTES CENSO;JARD EKON  LURZORUA HL GUZTIRA (M2)/SUELO AE  TOTAL SUB(M2);JARD EKON  LURZORUA HL HUTSIK (M2)/SUELO AE  VACANTE SUB(M2);JARD EKON  LURZORUA  LU GUZTIRA (M2)/SUELO AE  TOTAL SUZ(M2);JARD EKON  LURZORUA LU HUTSIK (M2)/SUELO AE  VACANTE SUZ(M2);BIZIT LORZORUA HL GUZTIRA (M2)/SUELO RES  TOTAL SUB(M2);BIZIT LORZORUA HL HUTSIK (M2)/SUELO RES  VACANTE SUB(M2);BIZIT LORZORUA  LU GUZTIRA (M2)/SUELO RES  TOTAL SUZ(M2);BIZIT LORZORUA  LU HUTSIK (M2)/SUELO RES  VACANTE SUZ(M2);HL ETXE  LIBREA GUZTIRA/TOTAL VIV  SUB  LIBRE;HL ETXE  BOE GUZTIRA/TOTAL VIV  SUB  VPO;HL ETXE B BABES BATZ GUZTIRA/TOTAL VIV  SUB  OTRAS PROTEC ;BURUTZEKO ETXE  HL/VIVIENDAS POR EJECUTAR SUB;LU ETXE LIBREA GUZTIRA/TOTAL VIV  SUZ  LIBRE;LU ETXE BOE GUZTIRA/TOTAL VIV  SUZ  VPO;LU ETXE  B BABES BATZ GUZTIRA/TOTAL VIV  SUZ  OTRAS PROTEC ;BURUTZEKO ETXE LU/VIVIENDAS POR EJECUTAR SUZ;NG ETXE  GUZTIAK/TOTAL VIVIENDAS NR;BURUTZEKO ETXE  LN/VIVIENDAS POR EJECUTAR NR
"=081";LEZAMA;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;16;2446;0;0;259596;201722,94;103861,39999999999;15779;57904,790000000001;13204,790000000001;0;0;0;15;0;100;0;16;17;3
"=082";SANTURTZI;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;8;46948;183897,94;6036,4099999999999;68094,720000000001;68094,720000000001;1213069,9299999999;121304,75999999999;294187,96999999997;876414,55000000005;4863;923;402;1411;526;1305;420;1465;0;0
"=083";ORTUELLA;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;7;8417;147454,60000000001;24053,950000000001;898757,35999999999;542841,57999999996;541780,41000000003;21992,049999999999;124905,96000000001;93943,470000000001;321;50;76;234;0;632;0;98;0;0
"=084";SESTAO;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;3;28548;1420910,23;648074,70999999996;62795,360000000001;134492,35999999999;790681,33999999997;70213,009999999995;0;12771,73;686;693;578;1070;0;0;0;0;0;0
"=085";SOPELA;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;8;12191;113650,28;24500;0;0;963646,06999999995;39257,660000000003;1023702,9;658911,40000000002;1235;62;0;147;1901;1228;0;2122;0;0
"=086";SOPUERTA;2024;4;2024-05-07T17:00:32Z;Balmaseda-Zalla;42;2575;61794,589999999997;39459;0;0;401017,26000000001;60174,040000000001;297262,19;243828,32000000001;161;0;0;112;510;72;0;442;189;39
"=087";TRUCIOS-TURTZIOZ;2024;4;2024-05-07T17:00:32Z;Balmaseda-Zalla;26;545;0;0;30079;24066;155847,62;13259,700000000001;54878;55628,699999999997;39;0;0;20;20;0;32;20;101;25
"=088";UBIDE;2024;4;2024-05-07T17:00:32Z;Álava Central;2;187;0;0;0;0;55524,230000000003;8663;0;0;20;24;0;14;0;0;0;0;8;4
"=089";URDULIZ;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;7;3630;225664,19;33873,699999999997;32498;28370,93;357962,14000000001;37347,559999999998;302005,40000000002;186192,32000000001;1036;0;48;242;1345;438;53;1075;0;0
"=090";BALMASEDA;2024;4;2024-05-07T17:00:32Z;Balmaseda-Zalla;22;7672;104147,09;18350;217755,57999999999;193705,69;445518,13;98375,5;103204,87;124526,64;1315;248;0;978;200;389;40;629;32;13
"=091";ATXONDO;2024;4;2024-05-07T17:00:32Z;Durango;23;1421;217474,67999999999;61395;66706;66005;119304,06;40322;0;0;209;0;0;132;0;0;0;0;89;15
"=092";BEDIA;2024;4;2024-05-07T17:00:32Z;Igorre;16;976;194359,95000000001;12250;0;81975;52919,660000000003;15133;60520;34100;111;16;36;72;0;0;0;27;113;24
"=093";AREATZA;2024;4;2024-05-07T17:00:32Z;Igorre;9;1218;0;0;72500;72500;69557,089999999997;16190,6;57902,629999999997;9884,5400000000009;177;0;0;133;58;45;0;12;12;5
"=094";IGORRE;2024;4;2024-05-07T17:00:32Z;Igorre;17;4185;326716,33000000002;106023,09;101635,42;48576,82;174555,73999999999;16847,189999999999;204812,45000000001;117236,60000000001;271;0;0;106;506;30;35;422;83;14
